configuracion,idx_original,clase_objetivo,es_semilla_valida,k,radio_percentil_distancias,umbral_densidad,radio_percentil_riesgos,umbral_entropia,umbral_riesgo,entropia,criterio_pureza,proporcion_min,proporcion_min_valor,densidad,densidad_valor,riesgo,riesgo_valor,pasa_pureza,pasa_densidad,pasa_riesgo,vecinos_validos_por_percentil,synthetics_from_this_seed,cant_vecinos_en_p_elegido,cant_min_en_p_elegido
PRD85_PR50_CPprop_UD050_UR055_Upp045_I0,847,Failure,False,7,0.5823381359675333,0.5,0.3512953115070445,,0.55,,proporcion,6/7,0.8571428571428571,0/7,0.0,0/7,0.0,True,False,True,0,0,0,0
PRD85_PR50_CPprop_UD050_UR055_Upp045_I0,1324,Failure,False,7,0.5823381359675333,0.5,0.3512953115070445,,0.55,,proporcion,6/7,0.8571428571428571,0/7,0.0,0/7,0.0,True,False,True,0,0,0,0
PRD85_PR50_CPprop_UD050_UR055_Upp045_I0,4155,Failure,False,7,0.5823381359675333,0.5,0.3512953115070445,,0.55,,proporcion,2/7,0.2857142857142857,7/7,1.0,5/7,0.7142857142857143,False,True,False,7,0,7,2
PRD85_PR50_CPprop_UD050_UR055_Upp045_I0,4449,Failure,True,7,0.5823381359675333,0.5,0.3512953115070445,,0.55,,proporcion,5/7,0.7142857142857143,7/7,1.0,2/7,0.2857142857142857,True,True,True,7,125,7,5
PRD85_PR50_CPprop_UD050_UR055_Upp045_I0,4731,Failure,False,7,0.5823381359675333,0.5,0.3512953115070445,,0.55,,proporcion,3/7,0.42857142857142855,7/7,1.0,0/7,0.0,False,True,True,7,0,7,3
PRD85_PR50_CPprop_UD050_UR055_Upp045_I0,4080,Failure,True,7,0.5823381359675333,0.5,0.3512953115070445,,0.55,,proporcion,5/7,0.7142857142857143,7/7,1.0,2/7,0.2857142857142857,True,True,True,7,144,7,5
PRD85_PR50_CPprop_UD050_UR055_Upp045_I0,4225,Failure,False,7,0.5823381359675333,0.5,0.3512953115070445,,0.55,,proporcion,2/7,0.2857142857142857,7/7,1.0,5/7,0.7142857142857143,False,True,False,7,0,7,2
PRD85_PR50_CPprop_UD050_UR055_Upp045_I0,5489,Failure,False,7,0.5823381359675333,0.5,0.3512953115070445,,0.55,,proporcion,1/7,0.14285714285714285,7/7,1.0,4/7,0.5714285714285714,False,True,False,7,0,7,1
PRD85_PR50_CPprop_UD050_UR055_Upp045_I0,3865,Failure,False,7,0.5823381359675333,0.5,0.3512953115070445,,0.55,,proporcion,0/7,0.0,7/7,1.0,3/7,0.42857142857142855,False,True,True,7,0,7,0
PRD85_PR50_CPprop_UD050_UR055_Upp045_I0,3684,Failure,True,7,0.5823381359675333,0.5,0.3512953115070445,,0.55,,proporcion,5/7,0.7142857142857143,7/7,1.0,0/7,0.0,True,True,True,7,118,7,5
